Smolt ID,Date,Julian Date,Weight (g),Survival Binary
1,30-Apr-13,120,9.98,0
2,30-Apr-13,120,18.52,0
3,30-Apr-13,120,19.39,0
4,1-May-13,121,13.48,0
5,1-May-13,121,15.14,0
6,1-May-13,121,13.17,0
7,1-May-13,121,25.87,0
8,1-May-13,121,20.27,0
9,1-May-13,121,21.48,0
10,1-May-13,121,22.94,0
11,1-May-13,121,12.16,0
12,1-May-13,121,17.26,0
13,1-May-13,121,15.66,0
14,1-May-13,121,16.03,0
15,1-May-13,121,18.96,0
17,1-May-13,121,16.28,0
18,2-May-13,122,22.91,0
19,2-May-13,122,17.5,0
20,2-May-13,122,20.75,0
21,2-May-13,122,19.5,0
22,2-May-13,122,19.02,0
23,2-May-13,122,16.45,0
24,2-May-13,122,17.38,0
25,2-May-13,122,26.96,0
26,2-May-13,122,16.26,0
27,2-May-13,122,16.64,0
28,2-May-13,122,25.96,0
29,2-May-13,122,20.57,0
30,2-May-13,122,21.26,0
31,2-May-13,122,16.31,0
32,2-May-13,122,14.66,0
33,2-May-13,122,17.94,0
34,2-May-13,122,28.29,0
35,2-May-13,122,16.81,0
36,3-May-13,123,26.15,0
37,3-May-13,123,20.63,0
38,3-May-13,123,18.79,0
39,3-May-13,123,23.13,0
40,3-May-13,123,17.13,0
41,3-May-13,123,20.56,0
42,3-May-13,123,18.52,0
43,3-May-13,123,22.77,0
44,4-May-13,124,18.09,0
45,4-May-13,124,15.94,0
46,4-May-13,124,13.2,0
47,4-May-13,124,19.43,0
48,4-May-13,124,14.8,0
49,4-May-13,124,19.93,0
50,4-May-13,124,20.16,0
52,4-May-13,124,13.45,0
53,4-May-13,124,22.83,0
54,4-May-13,124,15.63,0
55,4-May-13,124,11.87,0
56,4-May-13,124,11.75,0
57,4-May-13,124,18.71,0
58,4-May-13,124,18.67,0
59,4-May-13,124,10.85,0
60,4-May-13,124,15.11,0
61,4-May-13,124,22.17,0
62,4-May-13,124,15.46,0
63,4-May-13,124,19.63,0
64,4-May-13,124,16.71,0
65,4-May-13,124,14.65,0
66,4-May-13,124,28.29,0
67,4-May-13,124,5.42,0
68,5-May-13,125,18.87,0
69,5-May-13,125,19.85,0
70,5-May-13,125,15.6,0
71,5-May-13,125,13.67,0
72,5-May-13,125,24.74,0
73,5-May-13,125,12.95,0
74,5-May-13,125,16.12,0
76,5-May-13,125,16.14,0
77,5-May-13,125,19.4,0
78,5-May-13,125,18.85,0
79,5-May-13,125,21.45,0
80,6-May-13,126,16.72,0
81,6-May-13,126,16.69,0
82,6-May-13,126,22.97,0
83,6-May-13,126,19.41,0
84,6-May-13,126,18.27,0
85,6-May-13,126,17.94,0
86,6-May-13,126,11.75,0
87,6-May-13,126,14.87,0
88,6-May-13,126,16.68,0
89,6-May-13,126,17.85,0
90,6-May-13,126,22.56,0
91,6-May-13,126,25.91,0
92,6-May-13,126,12.97,0
93,6-May-13,126,12.52,0
94,6-May-13,126,13.05,0
95,6-May-13,126,11.66,0
96,6-May-13,126,14.11,0
97,6-May-13,126,17.12,0
98,6-May-13,126,14.49,0
99,6-May-13,126,28.99,0
100,6-May-13,126,18.01,0
101,6-May-13,126,16.4,0
102,6-May-13,126,20.57,0
103,7-May-13,127,23.65,0
104,7-May-13,127,13.67,0
105,7-May-13,127,23.68,0
106,7-May-13,127,12.61,0
107,7-May-13,127,11.95,0
108,7-May-13,127,17.14,0
110,7-May-13,127,16.27,0
111,7-May-13,127,11.89,0
112,7-May-13,127,11.18,0
113,7-May-13,127,18.86,0
114,7-May-13,127,12.53,0
115,7-May-13,127,19,0
116,7-May-13,127,16.14,0
117,7-May-13,127,17.23,0
118,7-May-13,127,33.56,0
119,7-May-13,127,14.89,0
120,7-May-13,127,19.18,0
121,7-May-13,127,13.88,0
122,7-May-13,127,12.62,0
123,7-May-13,127,19.2,0
124,7-May-13,127,13.44,0
125,7-May-13,127,14.75,0
126,7-May-13,127,18.2,0
127,7-May-13,127,14.36,0
128,7-May-13,127,22.42,0
129,7-May-13,127,19.27,0
130,7-May-13,127,13.61,0
131,7-May-13,127,11.7,0
132,7-May-13,127,22.15,0
133,7-May-13,127,19.45,0
134,7-May-13,127,18.47,0
135,7-May-13,127,13.98,0
136,7-May-13,127,22.71,0
137,7-May-13,127,17.66,0
138,7-May-13,127,12.32,0
139,7-May-13,127,18.25,0
140,7-May-13,127,18.1,0
141,7-May-13,127,19.04,0
142,7-May-13,127,16.88,0
143,7-May-13,127,19.52,0
144,7-May-13,127,19.01,0
145,7-May-13,127,15.51,0
146,7-May-13,127,20.63,0
147,7-May-13,127,13.46,0
149,7-May-13,127,10.3,0
150,7-May-13,127,18.01,0
151,7-May-13,127,22.1,0
152,7-May-13,127,22.8,0
153,7-May-13,127,14.92,0
154,7-May-13,127,13.58,0
155,7-May-13,127,18.76,0
156,7-May-13,127,18.25,0
157,7-May-13,127,15.72,0
158,7-May-13,127,19.71,0
159,7-May-13,127,14.39,0
160,8-May-13,128,17.49,0
161,8-May-13,128,15.8,0
162,8-May-13,128,19.33,0
163,8-May-13,128,27.28,0
164,8-May-13,128,16.12,0
165,8-May-13,128,26.75,0
166,8-May-13,128,17.45,0
167,8-May-13,128,16.69,0
168,8-May-13,128,18.66,0
169,8-May-13,128,20.97,0
170,8-May-13,128,23.05,0
171,8-May-13,128,15.33,0
172,8-May-13,128,19.38,0
173,8-May-13,128,12.28,0
174,8-May-13,128,15.81,0
175,8-May-13,128,16.44,0
176,8-May-13,128,16.68,0
177,8-May-13,128,19.56,0
178,8-May-13,128,19.52,0
179,8-May-13,128,25.83,0
180,8-May-13,128,18.52,0
181,8-May-13,128,25.51,0
182,8-May-13,128,20.02,0
183,8-May-13,128,11.06,0
184,8-May-13,128,15.41,0
